# step wm_danger det_logit danger fire dist_t dx dy yaw tbrg offaxis
166 -2.9801 -0.3317 0 0.0000 8.996 8.92 1.24 3.14 -3.04 0.10
167 -3.0006 -0.3705 0 0.0000 8.996 8.92 1.24 3.14 -3.04 0.10
168 -3.0285 -0.3643 0 0.0000 8.996 8.92 1.24 3.14 -3.04 0.10
169 -3.0278 -0.3531 0 0.0000 8.996 8.92 1.24 3.14 -3.04 0.10
170 -3.0670 -0.3656 0 0.0000 8.996 8.92 1.24 3.14 -3.04 0.10
171 -3.0490 -0.3679 0 0.0000 8.996 8.92 1.24 3.14 -3.04 0.10
172 -3.0187 -0.3316 0 0.0000 8.996 8.92 1.24 3.14 -3.04 0.10
173 -2.9920 -0.3262 0 0.0000 8.996 8.92 1.24 3.14 -3.04 0.10
174 -2.9958 -0.3263 0 0.0000 8.996 8.92 1.24 3.14 -3.04 0.10
175 -2.9838 -0.3356 0 0.0000 8.996 8.92 1.24 3.14 -3.04 0.10
176 -2.9475 -0.3484 0 0.0000 8.996 8.92 1.24 3.14 -3.04 0.10
177 -2.9527 -0.3471 0 0.0000 8.996 8.92 1.24 3.14 -3.04 0.10
178 -3.0135 -0.3694 0 0.0000 8.996 8.92 1.24 3.14 -3.04 0.10
179 -2.9990 -0.3665 0 0.0000 8.996 8.92 1.24 3.14 -3.04 0.10
180 -2.9910 -0.3464 0 0.0000 8.996 8.92 1.24 3.14 -3.04 0.10
181 -2.9974 -0.3523 0 0.0000 8.996 8.92 1.24 3.14 -3.04 0.10
182 -3.0015 -0.3413 0 0.0000 8.996 8.92 1.24 3.14 -3.04 0.10
183 -3.0459 -0.3535 0 0.0000 8.996 8.92 1.24 3.14 -3.04 0.10
184 -3.0269 -0.3448 0 0.0000 8.996 8.92 1.24 3.14 -3.04 0.10
185 -3.0343 -0.3516 0 0.0000 8.996 8.92 1.24 3.14 -3.04 0.10
186 -3.0198 -0.3579 0 0.0000 8.996 8.92 1.24 3.14 -3.04 0.10
187 -2.9690 -0.3579 0 0.0000 8.996 8.92 1.24 3.14 -3.04 0.10
188 -2.9598 -0.3692 0 0.0000 8.996 8.92 1.24 3.14 -3.04 0.10
189 -2.9495 -0.3709 0 0.0000 8.996 8.92 1.24 3.14 -3.04 0.10
190 -3.0022 -0.3923 0 0.0000 8.996 8.92 1.24 3.14 -3.04 0.10
191 -2.9648 -0.3654 0 0.0000 8.996 8.92 1.24 3.14 -3.04 0.10
192 -2.9590 -0.3658 0 0.0000 8.996 8.92 1.24 3.14 -3.04 0.10
193 -2.9583 -0.3532 0 0.0000 8.996 8.92 1.24 3.14 -3.04 0.10
194 -3.0016 -0.3484 0 0.0000 8.996 8.92 1.24 3.14 -3.04 0.10
195 -3.0234 -0.3664 0 0.0000 8.996 8.92 1.24 3.14 -3.04 0.10
196 -2.9547 -0.3282 0 0.0000 8.996 8.92 1.24 3.14 -3.04 0.10
197 -2.8583 -0.3031 0 0.0000 8.995 8.92 1.24 3.14 -3.04 0.10
198 -2.8554 -0.3121 0 0.0000 8.995 8.92 1.24 3.14 -3.04 0.10
199 -2.8412 -0.3124 0 0.0000 8.995 8.92 1.24 3.14 -3.04 0.10
200 -2.8270 -0.3035 0 0.0000 8.995 8.92 1.24 3.14 -3.04 0.10
201 -2.8661 -0.3221 0 0.0000 8.995 8.92 1.24 3.14 -3.04 0.10
202 -2.8830 -0.3099 0 0.0000 8.995 8.92 1.24 3.14 -3.04 0.10
203 -2.8417 -0.3006 0 0.0000 8.995 8.92 1.24 3.14 -3.04 0.10
204 -2.7357 -0.2781 0 0.0000 8.995 8.92 1.24 3.14 -3.04 0.10
205 -2.7616 -0.2874 0 0.0000 8.995 8.92 1.24 3.14 -3.04 0.10
206 -2.7712 -0.2965 0 0.0000 8.995 8.92 1.24 3.14 -3.04 0.10
207 -2.7637 -0.3085 0 0.0000 8.995 8.92 1.24 3.14 -3.04 0.10
208 -2.7776 -0.3039 0 0.0000 8.995 8.92 1.24 3.14 -3.04 0.10
209 -2.8110 -0.3284 0 0.0000 8.995 8.92 1.24 3.14 -3.04 0.10
210 -2.8108 -0.3032 0 0.0000 8.995 8.92 1.24 3.14 -3.04 0.10
211 -2.8239 -0.3145 0 0.0000 8.995 8.92 1.24 3.14 -3.04 0.10
212 -2.8330 -0.3121 0 0.0000 8.995 8.92 1.24 3.14 -3.04 0.10
213 -2.8222 -0.3215 0 0.0000 8.995 8.92 1.24 3.14 -3.04 0.10
214 -2.8188 -0.3023 0 0.0000 8.995 8.92 1.24 3.14 -3.04 0.10
215 -2.8042 -0.3114 0 0.0000 8.995 8.92 1.24 3.14 -3.04 0.10
216 -2.8551 -0.3209 0 0.0000 8.995 8.92 1.24 3.14 -3.04 0.10
217 -2.8623 -0.3146 0 0.0000 8.995 8.92 1.24 3.14 -3.04 0.10
218 -2.8555 -0.2880 0 0.0000 8.995 8.92 1.24 3.14 -3.04 0.10
219 -2.8403 -0.2860 0 0.0000 8.995 8.92 1.24 3.14 -3.04 0.10
220 -2.8033 -0.3057 0 0.0000 8.995 8.92 1.24 3.14 -3.04 0.10
221 -2.7762 -0.2880 0 0.0000 8.995 8.92 1.24 3.14 -3.04 0.10
222 -2.8062 -0.2882 0 0.0000 8.995 8.92 1.24 3.14 -3.04 0.10
223 -2.8034 -0.2756 0 0.0000 8.995 8.92 1.24 3.14 -3.04 0.10
224 -2.7813 -0.2609 0 0.0000 8.995 8.92 1.24 3.14 -3.04 0.10
225 -2.8014 -0.2633 0 0.0000 8.995 8.92 1.24 3.14 -3.04 0.10
226 -2.8204 -0.2779 0 0.0000 8.995 8.92 1.24 3.14 -3.04 0.10
227 -2.8181 -0.2954 0 0.0000 8.995 8.92 1.24 3.14 -3.04 0.10
228 -2.7845 -0.3040 0 0.0000 8.995 8.92 1.24 3.14 -3.04 0.10
229 -2.7976 -0.2958 0 0.0000 8.995 8.92 1.24 3.14 -3.04 0.10
230 -2.8409 -0.3280 0 0.0000 8.995 8.92 1.24 3.14 -3.04 0.10
231 -2.8517 -0.3431 0 0.0000 8.995 8.92 1.24 3.14 -3.04 0.10
232 -2.8120 -0.3441 0 0.0000 8.995 8.92 1.24 3.14 -3.04 0.10
233 -2.7985 -0.3283 0 0.0000 8.995 8.92 1.24 3.14 -3.04 0.10
234 -2.8612 -0.3275 0 0.0000 8.994 8.92 1.24 3.14 -3.04 0.10
235 -2.8868 -0.3496 0 0.0000 8.994 8.92 1.24 3.14 -3.04 0.10
236 -2.9022 -0.3310 0 0.0000 8.994 8.92 1.24 3.14 -3.04 0.10
237 -2.8877 -0.3418 0 0.0000 8.994 8.92 1.24 3.14 -3.04 0.10
238 -2.8989 -0.3277 0 0.0000 8.994 8.92 1.24 3.14 -3.04 0.10
239 -2.9062 -0.3168 0 0.0000 8.994 8.92 1.24 3.14 -3.04 0.10
